strain;date;country;clade
hCoV-19/Afghanistan/2870x0060_23802/2021;08/05/2021;Afghanistan;21A (Delta)
hCoV-19/Afghanistan/IMB07960/2020;07/06/2020;Afghanistan;20A
hCoV-19/Albania/un-ChVir25862_11/2021;08/07/2021;Albania;21J (Delta)
hCoV-19/Algeria/00003/2021;01/08/2021;Algeria;21J (Delta)
hCoV-19/Algeria/00018/2021;30/07/2021;Algeria;21J (Delta)
hCoV-19/Algeria/02615/2021;11/07/2021;Algeria;21J (Delta)
hCoV-19/Algeria/03594/2021;14/08/2021;Algeria;21J (Delta)
hCoV-19/Algeria/17416/2021;08/07/2021;Algeria;20I (Alpha, V1)
hCoV-19/Algeria/43053/2021;02/06/2021;Algeria;20I (Alpha, V1)
hCoV-19/Algeria/46836/2021;14/06/2021;Algeria;21J (Delta)
hCoV-19/Algeria/47640/2021;16/06/2021;Algeria;21J (Delta)
hCoV-19/Algeria/48915/2021;22/06/2021;Algeria;21J (Delta)
hCoV-19/Algeria/49227/2021;22/06/2021;Algeria;21J (Delta)
hCoV-19/Algeria/49926/2021;24/06/2021;Algeria;21J (Delta)
hCoV-19/Algeria/50100/2021;24/06/2021;Algeria;21J (Delta)
hCoV-19/Algeria/50291/2021;27/06/2021;Algeria;21J (Delta)
hCoV-19/Algeria/51743/2021;30/06/2021;Algeria;21J (Delta)
hCoV-19/Algeria/57433/2021;13/07/2021;Algeria;21J (Delta)
hCoV-19/Algeria/57453/2021;13/07/2021;Algeria;21J (Delta)
hCoV-19/Algeria/58/2021;22/01/2021;Algeria;20A
hCoV-19/Algeria/60136/2021;17/07/2021;Algeria;20I (Alpha, V1)
hCoV-19/Algeria/60317/2021;19/07/2021;Algeria;21J (Delta)
hCoV-19/Algeria/61403/2021;22/07/2021;Algeria;20I (Alpha, V1)
hCoV-19/Algeria/76465/2021;01/09/2021;Algeria;21J (Delta)
hCoV-19/Algeria/G35155-8850/2020;15/07/2020;Algeria;20B
hCoV-19/Algeria/G37308-8864/2020;17/06/2020;Algeria;20A
hCoV-19/Algeria/G38029-8861/2020;19/06/2020;Algeria;20A
hCoV-19/Algeria/G38218-8852/2020;19/06/2020;Algeria;20B
hCoV-19/Algeria/G40009-8862/2020;22/06/2020;Algeria;20C
hCoV-19/Algeria/G42452-8847/2020;24/06/2020;Algeria;20C
hCoV-19/Algeria/SJAA1081/2021;28/07/2021;Algeria;21J (Delta)
hCoV-19/Algeria/SMII/2021;23/06/2021;Algeria;21J (Delta)
hCoV-19/Angola/CERI-KRISP-K012693/2021;08/03/2021;Angola;20H (Beta, V2)
hCoV-19/Angola/CERI-KRISP-K013420/2021;15/02/2021;Angola;20H (Beta, V2)
hCoV-19/Angola/CERI-KRISP-K013525/2020;24/11/2020;Angola;20H (Beta, V2)
hCoV-19/Angola/CERI-KRISP-K013720/2020;14/10/2020;Angola;20H (Beta, V2)
